storm: 191/1912
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_list653 : TList to _list661 : TList in method public read(prot TProtocol, struct LSWorkerHeartbeat) : void in class backtype.storm.generated.LSWorkerHeartbeat.LSWorkerHeartbeatTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/LSWorkerHeartbeat.java;738;0
d;storm-core/src/jvm/backtype/storm/generated/LSWorkerHeartbeat.java;738;0
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_i415 : int to _i531 : int in method public read(prot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;967;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;967;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.scheduler.Topologies moved to org.apache.storm.scheduler.Topologies
s;storm-core/src/jvm/backtype/storm/scheduler/Topologies.java;26;58
d;storm-core/src/jvm/org/apache/storm/scheduler/Topologies.java;26;58
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i445 : int to _i461 : int in method public read(prot TProtocol, struct ComponentPageInfo) : void in class backtype.storm.generated.ComponentPageInfo.ComponentPageInfoTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/ComponentPageInfo.java;2102;0
d;storm-core/src/jvm/backtype/storm/generated/ComponentPageInfo.java;2135;0
--------------------
98704ec81a7629d11a95a744ee47d3baf7c2de6a;Rename Parameter;Rename Parameter	hkey : String to dataTypeDescription : RedisDataTypeDescription in method public opaque(jedisPoolConfig JedisPoolConfig, dataTypeDescription RedisDataTypeDescription) : StateFactory in class org.apache.storm.redis.trident.state.RedisMapState
s;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisMapState.java;40;0
d;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisMapState.java;41;0
--------------------
8fd1f4b193b5d81b3036726268da39380e2b3b61;Extract Superclass;Extract Superclass	org.apache.storm.redis.trident.state.AbstractRedisStateUpdater from classes [org.apache.storm.redis.trident.state.RedisClusterStateUpdater, org.apache.storm.redis.trident.state.RedisStateUpdater]
s;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisClusterStateUpdater.java;26;43
s;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisStateUpdater.java;27;47
d;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/AbstractRedisStateUpdater.java;31;36
d;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisClusterStateUpdater.java;26;43
d;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisStateUpdater.java;27;47
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.trident.state.CombinerValueUpdater moved to org.apache.storm.trident.state.CombinerValueUpdater
s;storm-core/src/jvm/storm/trident/state/CombinerValueUpdater.java;22;14
d;storm-core/src/jvm/org/apache/storm/trident/state/CombinerValueUpdater.java;22;14
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.generated.LSSupervisorId moved to org.apache.storm.generated.LSSupervisorId
s;storm-core/src/jvm/backtype/storm/generated/LSSupervisorId.java;53;352
d;storm-core/src/jvm/org/apache/storm/generated/LSSupervisorId.java;53;352
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.kafka.TopicOffsetOutOfRangeException moved to org.apache.storm.kafka.TopicOffsetOutOfRangeException
s;external/storm-kafka/src/jvm/storm/kafka/TopicOffsetOutOfRangeException.java;20;5
d;external/storm-kafka/src/jvm/org/apache/storm/kafka/TopicOffsetOutOfRangeException.java;20;5
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.metric.internal.RateTrackerTest moved to org.apache.storm.metric.internal.RateTrackerTest
s;storm-core/test/jvm/backtype/storm/metric/internal/RateTrackerTest.java;24;70
d;storm-core/test/jvm/org/apache/storm/metric/internal/RateTrackerTest.java;24;70
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.starter.tools.SlidingWindowCounter moved to org.apache.storm.starter.tools.SlidingWindowCounter
s;examples/storm-starter/src/jvm/storm/starter/tools/SlidingWindowCounter.java;23;96
d;examples/storm-starter/src/jvm/org/apache/storm/starter/tools/SlidingWindowCounter.java;23;96
--------------------
